Premise 1,Premise 2,Syllogistic relation,Conclusion,index
I walk at a moderate pace a day,I walk an average of 80 to 100 calories a day,yes,I burn an average of 80 to 100 calories a day ,3281
"Increased flow of blood and oxygen help to improve heart activity, lower blood pressure and cholesterol levels, and reduce bone and muscle loss.",Jogging increases the flow of blood and oxygen in the body.,yes,"Jogging help to improve heart activity, lower blood pressure and cholesterol levels, and reduce bone and muscle loss.",3282
Researchers have found evidence that sunscreens contain a chemical called oxybenzone.,Oxybenzone damages coral reefs even when it's present in a low concentration,yes,Researchers have found evidence that oxybenzone,3285
Communicating well with co-workers is key to a successful work life,Loneliness can worsen the ability to control your feelings. ,yes, Loneliness can worsen the ability to communicate well with co-workers,3286
Online ordering is fast and efficient,Most customers demand comfort and pace,yes,Most customers demand online ordering nowadays,3288
an individual may obtain journeyman status and certification by paying the union entry fee,man's card gives him the right to work on a union carpentry crew,yes,an individual may obtain journeyman status and the right to work on a union carpentry crew by paying the union entry fee,3289
Hair follicles are single tube-like holes in the skin that they are ever going to have.,People are born with all of the hair follicles that they are ever going to have.,yes,People are born with all of the single tube-like holes in the skin that they are ever going to have.,3291
Social media is used for chatting and posting images from all over the world.,Spread the news had a great influence on the lifestyle of human.,yes,social media had a great influence on the lifestyle of human.,3293
"in online shopping, products come to you direct from the manufacturer or seller.",the use of intermediaries leads to a economic price for customers.,yes,"in online shopping, products come to you direct from the manufacturer or seller leading to a economic price for customers.",3298
Employment costs a company or business money in order to recruit and train a new worker. ,sexual harassment probably happens every time an employee leaves.,yes,sexual harassment probably costs a company or business money in order to recruit and train a new worker.,3299
Drinking heavily without eating can lead to a serious problem in controlling blood sugar levels.,block your liver from releasing stored glucose into your bloodstream makes people inable to complete routine tasks,yes,Drinking heavily without eating can make people inable to complete routine tasks,3300
nowadays people easily have access to all sorts of information,people with many opinions can easily have access to many opinions,yes,nowadays people can easily have access to many opinions,3301
SpaceX contributed to the advancement of astronomical research and development,Elon Musk became the leader of the SpaceX program,yes,Elon Musk contributed to the improvement astronomical research and development,3303
the proposed infrastructural projects will reduce business costs by reducing business costs,Competitive infrastructure can have an impact in travel and tourism industry.,yes,reducing business costs have an impact in travel and tourism industry.,3304
The most experienced artisans are the ones who have worked with the most experienced workers.,Artisans became partial owners of the shop.,yes,The most experienced artisans became partial owners of the shop.,3305
Overusing onions increases the risk of bleeding.,people who have a hemorrhage disorder shouldn't overuse onions.,yes,people who have a hemorrhage disorder shouldn't overuse onions.,3306
In most contemporary societies hierarchy is defined to be by their own constitutions and laws,Men hold primary power and predominate in roles of political leadership,yes,"Even if not explicitly defined to be by their own constitutions and laws, in most contemporary societies men hold primary power and predominate in roles of political leadership",3307
Odin banished Thor from Asgard.,Imprisoning Thor made Thor wise and rightful king.,yes,Odin made Thor wise and rightful king.,3308
"The higher the temperature of the beach sand that female sea turtles nest in, the more likely they are to die.",Our global warming increases the temperature of the beach sand that female sea turtles nest in.,yes,Our global warming may be driving sea turtles into extinction by creating a shortage of males.,3313
Azrael observed and analyzed Batman’s methods.,Batman studied every skill and movement of Batman in a short time.,yes,Azrael had a very high intelligence level.,3314
Andalusia was one of the most profitable economies in the europe.,The silk-producing region of Europe was one of the most profitable economies in the europe.,yes,Andalusia was one the most profitable economies in the europe.,3316
the erosion of soil is one of the main factors contributing to desertification,The cultivation of semi-arid regions results in uneven weathering,yes,The cultivation of semi-arid regions is one of the main factors contributing to desertification,3317
"Psittacula bensoni is a species with a ""EX"" in front of it",EX is an extinct breed,yes,Psittacula bensoni is an extinct breed,3318
"When students can reach their parents instantly, they have extra time to study. ",These ubiquitous communication tools allow students to find their parents immediately.,yes,These ubiquitous communication tools allow students to have extra time to study.,3320
"Floods, drought, storms and other types of extreme weather threaten the global food supply.",Climate change will bring about a series of extreme weather events.,yes,Climate change will cause the global food supply.,3321
We could run out of non-renewable resources at any time,"When we use up all our non-renewable resources in adverse economic conditions, we are likely to lose money",yes,We could run out of non-renewable resources in adverse economic conditions,3324
Amyloid can predict the development of plaques in the brain.,Scientists at Washington University in St. Louis announced on Thursday that they’ve developed a blood test for amyloid.,yes,Scientists at Washington University in St. Louis announced on Thursday that they’ve developed a test that can predict the development of plaques in the brain.,3325
Several forests have processed tree logs.,"When trees are leveled, they are transformed into furniture.",yes,Several forests are transformed into furniture.,3329
"When a noble warrior was brutally injured and his arm and leg were amputated, he was attached to an exoskeleton to pursue his life as a human-robot.",Grey fox has mutilated body parts.,yes,Grey fox is attached to an exoskeleton to pursue his life as a human-robot.,3333
Persian Carpet has a universal reputation in carpet weaving.,Carpet has a universal reputation in carpet weaving.,yes,Persian Carpet has a universal reputation in carpet weaving.,3335
Creativity allows for job flexibility,"Working as an architect, demands job flexibility",yes,"Working as an architect, demands job flexibility",3336
Philadelphia became the central meeting place for the United States goverments.,The Founding father created the United States government.,yes,Philadelphia became the central meeting place for the Founding father.,3337
the construction of dams negatively impacts stream ecosystems,Damaging river ecosystems lead to degraded riverine ecosystems as part of the hydrological alteration,yes,the construction of dams lead to degraded riverine ecosystems as part of the hydrological alteration,3339
music stimulates the brain,the use of the whole brain helps to regenerate brain cells,yes,music helps to regenerate brain cells,3340
"People who develop and maintain blueprints of a business,are known as business architects",Blueprints of an enterprise provide a common understanding of the organization and is used to align strategic objectives and tactical demands,yes,"People who develop and maintain blueprints of the enterprise that provides a common understanding of the organization and is used to align strategic objectives and tactical demands,are known as business architects",3344
Humans are proposed to retain the water content of the body.,Watery fruits are proposed to eat watery fruits.,yes,Humans are proposed to eat watery fruits.,3346
The pollination process in vertical farming involves the hands of workers.,Mechanical farming will be labor intensive and costly.,yes, the pollination process in vertical farming will be labor intensive and costly.,3347
increasing interest in buying health farms has increased the price of organic food,the popularity of organic food has resulted in higher prices,yes,the popularity of organic food has increased interest in buying health farms,3349
ships must anchor off while their cargo and passengers are taken ashore by barge or launch in some third world countries,some third world countries and small islands have restricted seaport infrastructure,yes,ships must anchor off while their cargo and passengers are taken ashore by barge or launch in some third world countries and small islands,3350
Having arteries narrowing and clots forming can lead to a heart attack or stroke.,Smoking increases the arteries contraction.,yes,smoking can lead to a heart attack or stroke.,3352
counting your calories helps you decrease your body's metabolic rate,"When you reduce your calorie, you lose weight twice as fast",yes,counting your calories helps you to lose weight twice as fast,3353
"When the cortex of your hair are pushed outward so they stick up, it absorbs water and swells up.","When hairs are pushed outward so they stick up, it makes wet hair much easier to damage, especially when brushing or styling.",yes,"When the cortex of your hair absorbs water and swells up, it makes wet hair much easier to damage, especially when brushing or styling.",3358
Household air pollution kills 4 milion people a year and tends to affect countries in Africa and Asia.,The pollution generated by household combustion of fuels is caused by the burning of fuels.,yes,The pollution generated by household combustion of fuels kills 4 milion people a year and tends to affect countries in Africa and Asia.,3359
Pain relievers eases the feelings of hurt.,listening to music increases your tolerance to opioids.,yes,listening to music  eases eases the feelings of hurt.,3362
american Revolution began with the establishment of democracy,american revolutions happened in the late 18th to mid-19th,yes,american revolutions happened in the late 18th to mid-19th,3364
"For reduction of the effect of air pollution, you should avoid particulate matter, a mix of solid and liquid droplets arising mainly from fuel combustion and road traffic.","To avoid particulate matter, a mix of solid and liquid droplets arising mainly from fuel combustion and road traffic, you should limit walking on busy streets during rush hours.",yes,For reduction of the effect of air pollution you should limit walking on busy streets during rush hours.,3366
the range over which sediment is deposited or eroded is called the Tides,the size and shape of the coastline influences the amount of sand on the shore,yes,the range over which sediment is deposited or eroded is influenced by the size and shape of the coastline,3368
"An event, which were held in Olympia, Greece inspired the modern Olympic Games",Their creation of modern olympic games was inspired by an ancient Games,yes,"Their creation of modern olympic games was inspired by an event, which were held in Olympia, Greece",3371
Overpopulation results in degradation of Environment.,Growing advances in technology resulted in the uncontrollable growth of population.,yes,Growing advances in technology caused degradation of Environment.,3373
Traveling alone and tired makes you prone to depression.,Long commute makes you feel lonely and tired.,yes,Long commute makes you prone to depression.,3374
People with a healthy mindset are less likely to develop dementia,People who have a healthy mindset are less likely to develop dementia,yes,People with a healthy mindset are less likely to develop dementia,3376
Removing the headphone port from smartphones opened a market for EarPod.,Apple eliminated the headset port from smartphones.,yes,Apple intended to open a market for EarPod.,3378
ankle sprain can contribute to long-term pain, Chronic pain can contribute to chronic pain. ,yes,ankle sprain can contribute to chronic pain,3379
legal actions can't be taken for illegal actions. ,The work that many children took part in was not evident.,yes,legal actions can't be taken for work that many children took part in.,3381
Vitamin C help the body with wound healing. ,strawberries are rich in vitamin C.,yes,strawberries help the body with wound healing. ,3382
"After a long period of being fully formed,the stream that falls off the cliff, will be severed",a horizontal pit No conclusionllel to the waterfall wall will be formed,yes,"After a long period of being fully formed,a horizontal pit No conclusionllel to the waterfall wall will be formed",3383
Fruits and vegetables contain alot amount of water and fibre.,water and fibre fill you up for relatively few calories.,yes,Fruits and vegetables will fill you up for relatively few calories.,3384
"in facing ceconomic pressure, Creative services could keep going after a small setback.","In facing ceconomic pressure, Creative services could develop resilience.",yes,"in facing ceconomic pressure, Creative services could keep going after a small setback.",3385
Communicating about the dangers of smoking reduces their chances to become addicted to cigarettes,Involving children in the efforts to create tobacco-free free areas encourages them to be aware of the dangers of smoking,yes,Involving children in the efforts to create tobacco-free free areas reduces their chances to become addicted to cigarettes,3389
Sustainable buildings tend to be built with sustainable materials,Conservation of water is especially important in regions struggling with the lack of water,yes,Sustainable buildings are especially important in regions struggling with the lack of water,3395
smoking leads to Chronic bronchitis and narrow emphysema airways.,Inflammation of lungs can narrow airways and destructing lung tissue.,yes,smoking leads to narrowing airways and destructing lung tissue.,3397
Chemical elements having  maximum number of valence electrons their outer shell can hold are called Noble gases.,Noble gases rarely react with other elements.,yes,"Chemical elements having  maximum number of valence electrons their outer shell can hold, rarely react with other elements. ",3398
Decreasing attention can subject teenagers to fail in exams. ,Waves produced by mobile phones can cause limited concentration.,yes, Waves produced by mobile phones can subject teenagers to fail in exams. ,3400
The poor performance of Dallas stars led to drop in NHL league position.,Declining position in NHL table forced club boss to fire Jim Montgomery.,yes,The poor performance of Dallas stars forced club boss to fire Jim Montgomery.,3401
Too much social media use can lead to disconnection,Intensive relationships are often observed in introvert individuals,yes,Too much social media use is often observed in introvert individuals,3402
"the breaking down of rocks, soil, and minerals, results in large variations in temperature between day and night",Deserts are formed by pressure on the rocks which consequently break in pieces,yes,Deserts are formed by the large variations in temperature between day and night,3404
Blocking your liver from releasing stored glucose into your bloodstream make people inable to complete routine tasks.,Drinking heavily without eating can cause a serious problem in lowering blood sugar levels,yes,Drinking heavily without eating can make people inable to complete routine tasks,3409
"Air travel is about speed, safety and comfort.","Fast, safe and comfortable travel is convenient.",yes,Air travel is convenient.,3410
 deserts are characterized by a lack of vegetation,Sand and dust storms are natural events that occur in deserts that lack enough vegetation to protect the soil,yes,Sand and dust storms are natural events that occur in deserts,3411
The best-tasting coffee is made from coffee that is rich and their soil is rocky.,The mountain ridges of Central America and Africa grow at between five and eight thousand feet in elevation.,yes,The best-tasting coffee are the mountain ridges of Central America and Africa.,3412
Ginger is a great source of radical-fighting.,Free radical-fighting duo treat nausea and reduce muscle pain.,yes,Ginger treat nausea and reduce muscle pain.,3413
"when the horizontal demand curve shifts,customers are forced to buy products at higher costs","When an entire industry raises its prices, the flexibility of the demand curve increases",yes,"When an entire industry raises its prices,customers are forced to buy products at higher costs",3418
Forest elephants are found hidden by trees.,Finding forest elephants in the jungle is so difficult.,yes,Finding forest elephants in the jungle is so difficult.,3419
"Ground control is responsible for directing all ground traffic in planes, baggage trains, and other vehicles,except the traffic on runways","movement areas include planes, baggage trains, snowplows, grass cutters, fuel trucks, airline food trucks, conveyor belt vehicles and other vehicles",yes,"Ground control is responsible for directing all ground traffic in planes, baggage trains, snowplows, grass cutters, fuel trucks, stair trucks, airline food trucks, conveyor belt vehicles and other vehicles,except the traffic on runways",3420
Lemons are high in vitamin C,Vitamin c protects our cells from damaging free radicals,yes,Lemons protect our cells from damaging free radicals,3421
education is a great source of self-confidence. ,high self-esteem improves social status in communities. ,yes,education will improve social status in communities. ,3424
large oil spills can flushing bilge water into the ocean,the transportation of petroleum in tankers intensifies the probability of fuel leakage,yes,the transportation of petroleum in tankers intensifies the probability of flushing bilge water into the ocean,3429
Being able to concentrate helps us to concentrate,Solving puzzles helps us to feel content and relaxed,yes,Solving puzzles helps us to concentrate,3430
Warmer temperatures tend to increase the risk of asthma,Exposure to airborne pollen worsen hay fever,yes,Warmer temperatures worsen hay fever,3431
Bad nutrition can lead to eating disorders.,Disruption of digestion system contributes in evolving cancer cells.,yes,Bad nutrition contributes in evolving cancer cells.,3435
Saeid is a smoker,People who smoke are in danger of getting cancer,yes,Saeid is in danger of getting cancer,3436
"the system featuring automated labor,dramatically cut down on production costs for virtually all manufactured goods and brought about the age of consumerism",assembly-line manufacture is the system featuring Highly specialized laborers situated alongside a series of rolling ramps building up a product,yes,"the system featuring Highly specialized laborers situated alongside a series of rolling ramps building up a product,dramatically cut down on production costs for virtually all manufactured goods and brought about the age of consumerism",3437
"landscape architecture refers to outdoor public areas, landmarks, and structures for achieving environmental, social-behavioral, or aesthetic outcomes","Landscape architecture involves the systematic investigation of existing social, ecological, and soil conditions and processes in the landscape, and the design of interventions that will produce the desired outcome",yes,"the design of outdoor public areas, landmarks, and structures for achieving environmental, social-behavioral, or aesthetic outcomes, involves the systematic investigation of existing social, ecological, and soil conditions and processes in the landscape, and the design of interventions that will produce the desired outcome",3440
Self-awareness is closely interwoven with being concerned with the welfare of the society,early morning meditation is a form of self-reliance,yes,early morning meditation  is closely interwoven with being concerned with the welfare of the society ,3441
Digitalisation programmes don't have value for customers,Big retail needs to take up those skills and insights for the big retail,yes,Digitalisation programmes don't have value for the big retail,3442
pesimistic people are more likely to take preventive action about illness. ,pesimistic people tend to be concerned about getting sick.,yes,pesimistic people will  be more likely to take preventive action about illness,3444
Protecting against infectious diseases is important for our physical well-being.,Taking a shower daily protects against infectious diseases.,yes,Taking a shower daily is important for our physical well-being.,3446
Aloe vera is a genus of plant called Aloe.,Aloe vera exhibits therapeutic immune boosting effects.,yes,aloe vera exhibits therapeutic immune boosting effects.,3447
The wrong impression about technical or vocational education leads to joblessness.,Joblessness leads to a tendency for drug addiction.,yes, wrong impression about technical or vocational education leads to a tendency for drug addiction.,3448
A cruise home port is also where all the necessary supplies are loaded for the cruise,"Everything from fresh water and fuel to fruits, vegetables, champagne, and any other supplies needed for the cruise are loaded onto the cruise ship",yes,"A cruise home port is also where everything from fresh water and fuel to fruits, vegetables, champagne, and any other supplies needed for the cruise are loaded for the cruise",3449
Online ordering attracts more customers,Customers who are more likely to make investment provide you with a larger revenue for making investment,yes,Online ordering provides you with a larger revenue for making investment,3452
you are seeing water on the highway mirage,in hot days of summer you might see water on highway.,yes,you are seeing highway mirage,3453
Controlling bacteria in the mouth reduce bacterial infections caused by dental implants.,Aloe vera helps to control bacteria in the mouth.,yes,Aloe vera reduce bacterial infections caused by dental implants.,3454
The hiring of expert managers helped to improve the quality of urban facilities.,Mohammad Bagher Qalibaf helped to attract highly skilled individuals.,yes,Mohammad Bagher Qalibaf helped to improve the quality of urban facilities.,3455
smoking make your skin get less oxygen,Reduce the amount of oxygen that gets to your skin makes your skin ages more quickly and looks grey and dull,yes,smoking make your skin ages more quickly and looks grey and dull,3457
Having negative impacts on customers won't give an image to build on,A restaurant that creates an environment that appears completely opposite of its intended style attracts more customers,yes,A restaurant that creates an environment that appears completely opposite of its intended style won't give an image to build on,3458
Harry S. Truman authorized the atomic attack on Hiroshima.,The atomic attack on Hiroshima killed and maim thousands.,yes,Harry S. Truman authorized to kill and maim thousands. ,3459
One-way tunnels will minimise overcrowding and improve flow,The station will be designed to have one-way tunnels,yes,The station will be designed to have one-way tunnels,3460
You can keep track on profitability with precise information about the cash flow in the restaurant,An online ordering system gives you the ability to track costs,yes,You can keep track on profitability with an online ordering system,3463
Hannibal Buress exposed Bill Cosby’s sex abuse.,Proposed proof led Bill Cosby to prison cell.,yes,Hannibal Buress led Bill Cosby to prison cell.,3464
graduates of unversities tend to avoid smoking.,Nutsmokers can generally make better and healthier lifestyle choices.,yes,graduates of unversities  can generally make better and healthier lifestyle choices.,3465
Hair loss can decrease people's self-confidence,smoking can cause hair loss.,yes,smoking can decrease people's self-confidence,3467
Exercise can improve your muscle strength and boost your endurance.,Regular physical activity provides oxygen and nutrients to your tissues.,yes,Delivery of oxygen and nutrients to your tissues can improve your muscle strength and boost your endurance.,3468
deep beneath the surface experience a lot of heat.,Miners live in underground locations.,yes,Miners experience a lot of heat.,3472
the greatest contribution of co-education is to provide an accurate perspective on the idea of living.,A good society has a correct attitude toward life.,yes,the greatest contribution of co-education is a good society,3473
Instagram allows users to post photos of their products to attract online customers.,firms and companies post pictures of their products on Instagram.,yes,firms and companies attempt to attract online customers.,3474
When we take the time to transform our yard into a backyard bird habitat we create an ideal micro-environment for nature to flourish.,a place in which birds can safely and reliably find the things they need to stay happy and healthy in which nature can flourish.,yes,When we take the time to transform our yard into a backyard bird habitat we create a place in which birds can safely and reliably find the things they need to stay happy and healthy in which nature can flourish.,3476
Portable chargers are used to power up electronic devices.,Storage of electrical current assist in recharging electronic devices in the absence of power outlet.,yes,Portable chargers assist in recharging electronic devices in the absence of power outlet.,3477
"Compounds in ginger, known as gingerols and shogaols, relieve stomach contraction and emptying.","stimulation and emptying can help with nausea, cramping, bloating, gas, or indigestion.",yes,"Compounds in ginger, known as gingerols and shogaols help with nausea, cramping, bloating, gas, or indigestion.",3479
"In order to have a quiet place to work in, they should’ve moved into the farmhouse.","In order to have a place to live, they should’ve moved into the farmhouse and took up their residence there.",yes,"In order to have a quiet place to work in, they should’ve moved into the farmhouse and took up their residence there.",3480
Kiwis are particularly high in vitamin C.,Foods that are nutrient-dense can support system of the skin.,yes,Kiwis can support system of the skin.,3481
American classic records have been popularized with repetitive beats.,Rappers produce songs with the help of frequent beats.,yes,Rappers produce songs with the help of American classic records.,3486
Heart attacks can lead to premature deaths,Fish have a lower risk of heart attack,yes,People who eat fish have a lower risk of premature deaths,3487
Foods that contain protein are known to be high in calories,You're less likely to become obese when you feel more full and prevent you from overeating,yes,You're less likely to become obese when you eat protein,3488
spending spam messages slow down your system,Subscribing to different online websites might increase the number of e-mails on your phone,yes,Subscribing to different online websites might slow down your system,3489
Susana Fortes combines her writing skills with other aspects of life such as her expertise in journalism.,"Subsequent to her writing, she has created exceptional masterpieces.",yes,Susana Fortes has created exceptional masterpieces.,3491
Increased blood flow cause a small decrease in blood pressure,The bioactive compounds in cocoa enhance blood circulation,yes,The bioactive compounds in cocoa might cause a small decrease in blood pressure,3494
People who have difficulty making decisions tend to be distrustful,People tend to avoid making friendships with people who are less trustworthy,yes,People tend to avoid making friendships with people who have difficulty making decisions,3495
the best managers have a extraordinary ability to recognize their own emotions and those of others.,The ability to discern their own and others' thoughts quickly helps them to solve problem faster.,yes,the best managers have a extraordinary abilitythat that helps them to solve problem faster.,3499
Talking fast leaves people less time to formulate an argument.,Forming an argument requires evaluating your point.,yes,Talking fast leaves people less time to evaluate your point.,3500
dairy foods would probably contain a large amount of phosphorus.,Phosphorus helps release energy from food.,yes,dairy foods would probably help release energy from food.,3501
Interpolation is a process which estimates the temperatures between weather stations using data from the closest stations.,"Quantifying the statistical uncertainty present in a process called interpolation, helped researchers to be confident that the interpolation was accurate.",yes,"Quantifying the statistical uncertainty present in a process which estimates the temperatures between weather stations using data from the closest stations, helped researchers to be confident that the interpolation was accurate.",3502
The time element in construction means that the contracts must be completed in time,The contracts must be designed to ensure that each side is capable of performing the obligations set out,yes,The time element in construction means that the contracts must be designed to ensure that each side is capable of performing the obligations set out,3504
The indoor nature of factory farms provides ample supply of disposable material,the ability to create usable resources almost anywhere on the planet is especially beneficial in african countries,yes,The indoor nature of factory farms is especially beneficial in african countries,3505
Working in teams develops more ideas and improves decision making., brainstorming improves productivity.,yes,Working in teams improves productivity.,3506
Close proximity to dwellings might worsen the negative effects brought about by noise pollution,Wind turbines often have to be moved closer to the construction area,yes,Wind turbines might worsen the negative effects brought about by noise pollution,3512
 slowing down your reflexes and decrease the ability to understand and react immediately to changing situations puts the driver at risk of an accident or highway injury. ,Drinking alcohol causes slow reflection.,yes,Drinking alcohol  puts the driver at risk of an accident or highway injury. ,3513
Duckweed layers the surface of water like a not thin blanket.,The covering of the water blocks the mosquito from laying eggs.,yes,Duckweed blocks the mosquito from laying eggs.,3515
Bruce Lee’s misdeeds triggered the rage of public audience.,"Once upon a time in Hollywood, Bruce lee was portrayed as a feeble warrior.",yes,Once upon a time in Hollywood triggered the rage of public audience.,3518
"Being a stimulant make sleep more difficult, as it can mask typical signs of sleepiness.",Nicotine is the main ingredient inotine.,yes,"Nicotine make sleep more difficult, as it can mask typical signs of sleepiness.",3520
MSI introduced the most prevailing computer device.,The release of the most powerful laptop challenged the big companies to fortify their developments.,yes,MSI challenged the big companies to fortify their developments.,3523
Internet addiction makes people unable to sleep or relax. ,people who are constantly tired are always tired.,yes,people who are addicted to internet are always tired. ,3527
One of the e-commerce benefits is fewer expenses,A lower startup cost is better customer service,yes,One of the e-commerce benefits is better customer service,3528
"Carpentry is a skilled trade and a craft in which the primary work is the trimming,forming and attaching of building materials","Cutting, shaping and installation of building materials is performed during the construction of buildings, ships, timber bridges, concrete formwork, etc",yes,"Carpentry is a skilled trade and a craft in which the primary work is performed during the construction of buildings, ships, timber bridges, concrete formwork, etc",3529
Driving in the wrong direction can result in severe accidents. ,Driving while tired can result in dangerous situations. ,yes,Driving while tired can result in severe accidents.,3530
Overusing liver or liver pâté may cause danger of getting too much vitamin A.,Vitamin A may cause a weak bone especially if you're not a man.,yes,Over using liver or liver pâté may cause danger of having weak bones especially if you're not a man.,3533
AGEs areCompounds which are formed by reactions between sugar and protein in the body.,AGEs are compounds suspected to play a key role in skin aging.,yes,Compounds which are formed by reactions between sugar and protein in the body are suspected to play a key role is skin aging.,3535
Good customer service is vital to good customer service,Clearly written directions and manuals provide clear and effective communication,yes,Clearly written directions and manuals are vital to good customer service,3537
In rural Honduras nearly all houses are built of adobe.,"Adobe is cheap, fireproof and good insulation against heat and cold.",yes,In rural Honduras nearly all houses are built of adobe.,3540
the use of solar energy in urban areas will contribute to the lowering of the air pollutant levels,Smart planning used in future cities will include the installation of solar panels for residential purposes,yes,Smart planning used in future cities will contribute to the lowering of the air pollutant levels,3542
Disruptive behaviors hurt your relationships.  ,"People who lack of the ability to regulate your emotions appropriately, tend to engage in unordered activities. ",yes," lack of the ability to regulate your emotions appropriately, hurt your relationships. ",3543
Cranberry growing has raised some environmental concerns like water loss.,water whould be polluted by chemical.,yes,Cranberry growing has raised some environmental concerns like water whould be polluted by chemical.,3545
Vitamin D helps absorb calcium.,Sunlight gives your body Vitamin D.,yes,Sunlight helps absorb calcium.,3548
Brexit means coming out of free trade of Euro zone.,Free trade of European nations is the main driver of business amongst European nations.,yes,Brexit means coming out of free business amongst European nations.,3549
Workers in Google company share breaks with others on their teams.,Workers who share time with others are happier and more productive.,yes,Workers in Google company are happier and more productive.,3550
Increased cash flow will allow you to make investments,Financial planning will allow you to increase your capital,yes,Financial planning will allow you to make investments,3553
Robber flies are aggressive insect predator.,Dasypogoninae is a genus of robber flies.,yes,Dasypogoninae is aggressive insect predator.,3556
reading a book can help you stay mentally stimulated. ,Brain stimulation can slow the progress of Alzheimer’s,yes,reading a book can slow the progress of Alzheimer’s,3561
Creative thinking becomes impaired when we struggle to process information efficiently,creative thinking becomes impaired in high nose levels,yes,creative thinking becomes impaired in high nose levels,3567
People who have a lot of friends spend more time in social places.,INFJ personalities tend to have a lot of friends.,yes,INFJ personalities tend to spend more time in social places.,3568
optimism is correlated with higher levels of education.,Having success in academia gives you better future life quality,yes,optimism is correlated with better future life quality,3570
casting is a clay form in which the shape of the glass container is carved.,Casting is another ancient method of making glass that is still used today.,yes,Another ancient method of making glass that is still used today is making a clay form in which the shape of the glass container is carved.,3572
All humans have a creative thinking.,Creativity can solve a variety of challenges in many different situations,yes,All humans can solve a variety of challenges in many different situations,3574
 Fog is when water vapor condenses into tiny liquid water droplets suspended in the air. ,"When the difference between air temperature and dew point is less than 2.5 °C, fog begins to form.",yes,"When the difference between air temperature and dew point is less than 2.5 °C , water vapor condenses into tiny liquid water droplets suspended in the air. ",3575
overpopluation raises the pressure from fishing. ,Overpopulation increases the likelihood of damage to the structure and function of the ocean ecosystem,yes,overpopluation raises the likelihood of damage to the structure and function of the ocean ecosystem,3579
Racial discrimination resulted in gradually allocating proper welfares for black people.,Martin Luther king Jr. started a movement.,yes,"Martin Luther king Jr. started a movement, which resulted in gradually allocating proper welfares for black people.",3580
Smoking increases the amount of nicotine in blood stream.,Less blood going to the brain makes less blood going there.,yes,Smoking makes less blood going to the brain. ,3581
 smoking is associated with decreasing bone health. ,bone fractures are associated with fractures in bones,yes, smoking is associated with fractures  in bones,3584
Primates are in danger of disappearing.,They say almost fifty percent of the world's species of primates are in Asia.,yes,"They say almost fifty percent of the world's species of primates are in Asia, that are in danger of disappearing.",3587
An imagined or extremely small defect somewhere visible (to the individual) on their body caused a relatively unknown disorder.,Body Dysmorphic Disorder involves preoccupation and excessive distress.,yes,An imagined or extremely small defect somewhere visible (to the individual) on their body caused Body Dysmorphic Disorder (BDD).,3588
Some train travels offer passengers the ability to board and get off the train no matter when and where on your journey,Preventing and disembarking at any time can be a main advantage for spontaneous travelers,yes,Some train travels can be a main advantage for spontaneous travelers,3589
Pesticides can be harmless.,Organic foods are produced in a well-controlled indoor environment.,yes,crops which are produced in a well-controlled indoor environment can be harmless.,3591
The Siege of Rennes was an episode in the War of the Breton Succession.,The War of the Breton Succession was a conflict between the Counts of Blois and the Montforts of Brittany for control of the Duchy of Brittany.,yes,The Siege of Rennes was an episode in a conflict between the Counts of Blois and the Montforts of Brittany for control of the Duchy of Brittany.,3592
Watching too much television can be very stressful,Sitting down can be deadly,yes,Watching too much television can be deadly,3594
"When Logan was captured and injected with Liquid metal called “Adamantium”, his bone structure was modified.",Logan was injected with Adamantium.,yes,Logan’s bone structure was modified.,3598
 excessive drinking and drunkenness contribute to liver damage.,Long working hours have been shown to lead to excessive drinking and alcoholism. ,yes,Long working hours have been shown to  contribute to liver damage.,3599
"If you have high blood pressure, diabetes, or hardening of the arteries, you may have kindney disease.",Developing kidney disease may cause prevent your kidneys from doing the job they are supposed to.,yes,"If you have high blood pressure, diabetes, or hardening of the arteries, you may cause prevent your kidneys from doing the job they are supposed to.",3600
Feeling good about yourself creates a bond between two people and Brings people together.,Release of endorphin boosts feelings of well-being.,yes,Release of endorphin creates a bond between two people and Brings people together .,3601
Reductions in joint pain and stiffness are known to be associated with swimming.,Swiming may help improve your recovery from an injury. ,yes,Reductions in joint pain and stiffness may  help improve your recovery from an injury.,3603
Team sports athletes have a strong bond with each other.,Having a team mentality helps to have a sense of fair play.,yes,Team sports athletes have a sense of fair play.,3607
"People with Crohn’s are also more likely to develop intestinal infections from bacteria, viruses, parasites, and fungi."," intestinal infections from bacteria, viruses, parasites, and fungi can be affected by the severity of symptoms and create complications.",yes,People with Crohn’s are also more likely to be affected by the severity of symptoms and create complications.,3608
"You will pay less for bills, once you have ensured that no energy is going to waste",Installing well-insulated windows will limit the squandering of energy,yes,"You will pay less for bills, once you have installed well-insulated windows",3609
there is typically less ozone near the equator,there is typically less ozone near the equator,yes,there is typically less ozone near the equator,3612
using a fan can remove the vapors produced by onion.,Blowing the gases away from the eyes can prevent uncontrollable tears caused by onion,yes,using a fan can can prevent uncontrollable tears caused by onion,3613
further four million people in UK have low income.,Critical salary difficulties puts people at risk of mental problems.,yes,further four million people in UK are at risk of mental problems.,3614
 fatty fish is a great source of vitamin D.,You should consider eating vitamin D if you do not get enough sunlight during the day,yes,"You should consider eating fatty fish, if you do not get enough sunlight during the day",3615
