,index,Premise 1,Premise 2,Conclusion
910,2114,China is not a top oil exporter,China is not a top oil exporter,China is not a top oil exporter
1886,2115,"we are more likely to get angry,When stressed we become more aggressive","When stressed, we tend to behave in dangerous situations","we are more likely to get angry,When stressed"
1887,2116,Large wealth gaps create inequality,Violent conflict creates higher security costs for the government ,Large wealth gaps create higher security costs for the government 
1888,2117,Tropic islands have large mass of vegetation.,Large mass of vegetation can be found in any part of the island.,Tropic islands have large mass of vegetation.
428,2118,the man is on vacation,the man is on vacation,the man is on vacation
911,2119,graphite is difficult to burn and is not so commonly used as fuel,"the material mixed with clay which is used in pencils, is called graphite","the material mixed with clay which is used in pencils, is difficult to burn and is not so commonly used as fuel"
1889,2120,Cooking tofu with herbs and species will result in better taste and smell.,Cooking tofu with herbs and species will results in better taste and smell.,Cooking tofu with herbs and species will results in better taste and smell.
429,2121,Ptyalin digests starch into a sugar called maltose.,Maltose is an enzyme which digests starch into a sugar called maltose.,Saliva contains an enzyme which digests starch into a sugar called maltose.
1890,2122,"the architecture principles and practices, for the successful development and execution of strategy, are known as architecture principles","the practice of conducting enterprise analysis, design, planning, and implementation, using a holistic approach at all times, for the successful development and execution of strategy","the practice of conducting enterprise analysis, design, planning, and implementation, using a holistic approach at all times, for the successful development and execution of strategy,applies architecture principles and practices to guide organizations through the business, information, process, and technology changes necessary to execute their strategies"
912,2123,Most of the residents of Tehran prefer through Chalus road.,Most of the residents of Tehran prefer through Chalus road.,Most of the residents of Tehran prefer through Chalus road.
1395,2124,Consuming sugary drinks often leads to insulin resistance.,Fatigue often leads to non-alcoholic fatty liver disease.,Consuming sugary drinks often leads to non-alcoholic fatty liver disease.
1891,2125,Child labour deprives children of their childhood,Poverty and lack of schools are considered the primary cause of poverty,Poverty and lack of schools are considered the primary cause of deprives children of their childhood
1396,2126,Talking can help people on the world with a clear understanding of each other.,Music is a universal language.,Music can help people on the world with a clear understanding of each other.
913,2127,The peak flow meter measures the amount of air he is able to push out of his lungs that can help him realize he is having a problem before he feels it.,She advised David's parents to use a special device called the Peak flow meter.,She advised David's parents to use a special device that measures the amount of air he is able to push out of his lungs that can help him realize he is having a problem before he feels it.
1397,2128,Most bankrupt companies have leaders who lack vision,Most bankrupt companies have leaders who lack vision,Most bankrupt companies have leaders who lack vision
914,2129,Chocolate is a long metabolic process that produces chemical changes in cacao seeds.,A long metabolic process that produces chemical changes in cacao seeds through the action of enzymes followed by roasting.,They found that a long metabolic process that produces chemical changes in cacao seeds through the action of enzymes followed by roasting at a moderate temperature creates an aroma closest to chocolate in the seeds.
915,2130,life gets much easier with education,advanced in education get much easier with education,life gets much easier with education
1892,2131,William Henry Avery was a member of the Republican Party.,American Republican Party aligned with more brutal approach in international politics.,William Henry Avery was aligned with more brutal approach in international politics.
1893,2132,The person loses large amounts of body water and salt in perspiration.,Perspiration is one of the body’s defenses against heat.,The person loses large amounts of body water and salt in one of the body’s defenses against heat.
430,2133,bald eagle is U.S. national animal,bald eagle is U.S. national animal,bald eagle is U.S national animal
431,2134,HIV increases the muscle mass of people,Weight loss increases the risk of mobility restrictions,HIV increases the risk of mobility restrictions
2352,2135,"Visual perception such as seeing and hearing, memory, emotions. ",Many females tend to have a higher ratio of grey matter to white matter.,"Many females tend to have a higher ratio of sensory perception such as seeing and hearing, memory, emotions. "
1894,2136,Fasting is known to stimulate the immune system,Inflammation can prevent the development of chronic conditions,Fasting is known to prevent the development of chronic conditions
432,2137,Calorie reduction is a great way to help you reach your weight loss goals.,Weight loss can help you reach your weight loss goals.,Lifting weights is a great way to help you reach your weight loss goals.
916,2138,Reading aloud to students can provide context.,Developing ideas can push students for deeper thought around a big idea.,Reading aloud to students can push students for deeper thought around a big idea.
2353,2139,The strength of acids and bases is measured with paper that have color indicators.,Ph is measured with paper that have color indicators.,The strength of acids and bases is measured with paper that have color indicators.
917,2140,Liquid gas can exist in equilibrium with its bulk liquid at a pressure that is higher than atmospheric pressure,"When the temperature rises below normal, the gas in aerosol sprays can expand","Usually, the gas in aerosol sprays can exist in equilibrium with its bulk liquid at a pressure that is higher than atmospheric pressure"
918,2141,"People used only their memory to call to mind birthdays, names, phone numbers, addresses, and important dates.","Just a couple of generations age, people have different facial expressions.","Just a couple of generations age, people used only their memory to call to mind birthdays, names, phone numbers, addresses, and important dates."
1398,2142,Safran is popular among foreign people.,Ghormeh Sabzi is one of the most famous chefs in the world.,Ghormeh Sabzi is popular among foreign people.
1399,2143,"When there is less work to do, companies tend to hire few people to operate the machine.","when only one person can do many people’s work, the machine is less powerful.","when only one person can do many people’s work, companies are hiring few people to operate the machine."
1400,2144,Social isolation negatively impact safety levels,Higher rates of criminal activity lead to higher rates of suicide,Higher rates of criminal activity negatively impact safety levels
1401,2145,A successful marketing strategy begins with understanding your competitors,Taking some time to analyze your competitors is the first step in setting up a successful marketing strategy,Taking some time to analyze your competitors is the first step in setting up a successful marketing strategy
2354,2146,The Communist Party collapsed the Soviet Union.,Allowing elections with a multi-party system resulted in the collapse of the Soviet Union.,Allowing elections with a multi-party system collapsed the Soviet Union.
433,2147,People who are able to control their temper and keep their heads straight are called on,It best to ensure that you employ people who are assertive,It best to ensure that you employ people that are able to control their temper and keep their heads straight if they're yelled on
1402,2148,Poverty can be caused by inadequate access to clean water and nutritious food. ,Illegal immigration may be caused by lack of proper sanitation.,Illegal immigration may be caused by inadequate access to clean water and nutritious food.
1403,2149,Luteinizing hormone is a kind pf hormone which trigger the egg’s release.,"Once the egg is mature, your body releases a surge of Luteinizing hormone.","Once the egg is mature, your body releases a surge of a kind pf hormone which trigger the egg’s release."
919,2150,Vitamin A help the body's natural defense against illness.,Cheese contains a large amount of Vitamin A.,Cheese help the body's natural defense against illness.
434,2151,"Researches has shown that when you are watching TV, your higher brain regions shut down.","When you have too much TV, your higher brain regions shut down and the lower brain regions experience atrophy due to lack of usage.","Researches has shown that when you are watching TV, your higher brain regions shut down and the higher brain regions experience atrophy due to lack of usage."
1404,2152,Cold currents approach the land or cold water upwellings rise from the ocean depths,Ocean deserts are mostly found where cold currents approach the land or cold water upwellings,Coastal deserts are mostly found where cold currents approach the land or cold water upwellings rise from the ocean depths
435,2153,Recycling is considered as one of the best solutions to reduce trash load,Protecting environment helps in environment protecting,Recycling is considered as one of the best solutions to help in environment protecting
920,2154,Bananas are a great source of Bananas,Eating more Bananas has repeatedly been linked to lower body weight and weight loss,Eating more Bananas repeatedly been linked to lower body weight and weight loss
921,2155,Successful restaurants tend to attract new customers,Customers will usually return to restaurants that serve fresh ingredients,Customers will usually return to successful restaurants
1895,2156,Climate change contribute to global greenhouse gas emissions,Summer holidays bring about summer holidays,Summer holidays contribute to global greenhouse gas emissions
2355,2157,Violence can have a higher possibility of violence and breaking law. ,Patients with Circadian rhythm disturbances are often sedentary.,Patients with Circadian rhythm disturbances can have a higher possibility of violence and breaking law. 
922,2158,"In 1839, German physicist and meteorologist, Heinrich Wilhelm Dove, unveiled a remarkable phenomenon.","The space the brain attempts to correct the difference, between the two frequencies being heard.","In 1839, German physicist and meteorologist, Heinrich Wilhelm Dove, unveiled a remarkable phenomenon that is the space the brain attempts to correct the difference, between the two frequencies being heard."
1896,2159,"nowadays, teachers have more advanced skills in teaching math","nowadays, teachers have more improved skills in teaching math","nowadays, teachers have more improved skills in teaching math"
2356,2160,tiny plastics are tiny plastics.,Remnants of corrosion can move into tissues and organs.,tiny plastics can move into tissues and organs.
923,2161,Children who are going through divorce may experience isolation,Children whose family is going through divorce may experience isolation,Children whose family is going through divorce may experience isolation
924,2162,Daffodil is a lovely symbol of early spring.,The renewal of life could be a lovely symbol of hope for cancer patients.,Daffodil could be a lovely symbol of hope for cancer patients.
2357,2163,Japanese players are highly admired by Japanese players.,Nintendo is the creator of the Legend of Zelda.,Nintendo is highly admired by Japanese players.
1897,2164,"Hormone changes can lead to anxiety, depression, panic attacks, obesity, fibromyalgia, eating disorders, chronic pain, migraines, and alcohol abuse.",Hormone changes are often attributed to changes in serotonin.,"Hormone changes are often attributed to anxiety, depression, panic attacks, insomnia, obesity, fibromyalgia, eating disorders, chronic pain, migraines, and alcohol abuse."
436,2165,Income inequality makes you feel alienated. ,People who don't build relationships are less likely to build relationships ,Income inequality makes you less likely to build relationships 
1898,2166,Food item is potentially in-season throughout the year in the factory farming process,"In the factory farming process, there are various stages of production",Each food item is potentially in-season throughout the year in the factory farming process
925,2167,Combining water with a cementitious material reduces the amount of water in the aggregate,"waterglues the aggregate together, fills voids within it, and sets it up to flow more freely,by the process of hydration","Combining water with a cementitious material ,glues the aggregate together, fills voids within it, and sets it up to flow more freely,by the process of hydration"
1899,2168,The world must have a creator.,Creativity must have a creator.,The world must have a creator.
2358,2169,Side effects of eating too much onion might cause pain in the abdomen,Too much onion might contribute to nausea, Side effects of eating too much onion might contribute to nausea
437,2170,Floods are powered only by sail and oars,"At the other extreme, two-thirds of the undecked boats have no motors","At the other extreme, two-thirds of the undecked boats are powered only by sail and oars"
1900,2171,The asteroid impact wiped dinosaurs off the earth.,Destroying dinosaurs wiped dinosaurs off the earth.,The asteroid impact wiped dinosaurs off the earth.
2359,2172,The Jet engine made a huge impact in fuel combustion efficiency.,Mazda developed the Calibrated Jet motors.,Mazda made a huge impact in fuel combustion efficiency.
438,2173,Microsoft introduced Office with remarkably high comfort.,Microsoft assisted users on pursuing their tasks with remarkably high comfort.,Microsoft assisted users on pursuing their tasks with remarkably high comfort.
439,2174,car accidents can lead to stress. ,Depression can lead to post-traumatic stress ,car accidents can lead to post-traumatic stress 
1405,2175,Plastics can lead to environmental pollution.,Burning of plastic in the open air can lead to pollution.,Burning of plastic in the open air can lead to environmental pollution.
926,2176,greenhouse gases are serious problems for the earth and every living being.,Greenhouse gases are serious problems for the earth and every living being.,greenhouse gases are serious problems for the earth and every living being.
1406,2177,Polluted air can cause nasal congestion.,"Acid air can cause nasal congestion, runny nose, itchy or watery eyes, chest congestion, cough, wheezing, labored breathing, and shallow breathing.","Polluted air can cause nasal congestion, runny nose, itchy or watery eyes, chest congestion, cough, wheezing, labored breathing, and shallow breathing."
1901,2178,Water vapor freezing forms snow.,Ice crystals form snow.,Water vapor freezing forms snow.
1902,2179,"calcium chloride, calcium nitrate and sodium nitrate are known to be a great source of calcium","calcium chloride, calcium nitrate and sodium nitrate increase the strength of the concrete","calcium chloride, calcium nitrate and sodium nitrate speed up the hydration (hardening) of the concrete"
1407,2180,Researchers say flavonoids can reduce your risk for cancer and heart disease.,Researchers say apples and green tea contain favanoids.,Researchers say apples and green tea can reduce your risk for cancer and heart disease.
1408,2181,Turning trees to charcoals could cause the climate to change.,The climate to be dried in that area is called charcoals.,Turning trees to charcoals could cause the climate to be dried in that area.
2360,2182,Watermelob is a great source of watermelob.,Watermelob can ease constipation.,Watermelob can ease constipation.
1409,2183,loss of ozon layer changes the ecosystem,CFC gas emmission results in the loss of layer integrity,CFC gas emmission changes the ecosystem
2361,2184,Tour guides normally are able to provide up-to-date factual information and answer any questions that you have about the site/attraction,Tour guides normally provide up-to-date factual information and answer any questions that you have about the destination,Tour guides normally are able to provide up-to-date factual information and answer any questions that you have about the site/attraction
2362,2185,"The monopoly of patents,gave rise to the pace of technological development",In return for publicly revealing the workings of an invention the patent system allowed the development of steam boilers,"In return for publicly revealing the workings of an invention the patent system,gave rise to the pace of technological development"
1903,2186,In many cultures some bats species are associated with blood.,Blood on the skin are symbols of death and darkness.,In many cultures some bats species are symbols of death and darkness.
440,2187,Improved handgrip strength can help reduce joint pain and swelling from rheumatoid arthritis.,Olive oil can help reduce joint pain and swelling from rheumatoid arthritis.,Olive oil can help reduce joint pain and swelling from rheumatoid arthritis.
1410,2188,Musculoskeletal diseases are caused by lack of exercise,A large percentage of americans suffer from paralysis,A large percentage of americans suffer from musculoskeletal diseases
1411,2189,Small business owners tend to be multitasking,People who don’t give enough attention to important aspects tend to focus on other tasks,Small business owners can’t give enough attention to important aspects
2363,2190,Drinking water accumulates in the bloodstream,water cools the body,Drinking water cools the body
2364,2191,"If you’ve been diagnosed with celiac disease, your immune system is too weak to fight off other diseases.","If you’ve been diagnosed with celiac disease, you will need to avoid gluten.","If you’ve been diagnosed with celiac disease, you’ll need to avoid bread and bread crumbs, wheat berries, wheat tortillas, pastries, muffins, cookies, cakes, and pies with wheat crust, wheat-based pastas, wheat-based crackers, cereals that contain wheat, beer, soy sauce."
927,2192,poepole enjoy walking in autumn.,poepole enjoy walking in autumn.,poepole enjoy walking in autumn.
2365,2193,People who are addicted to technology feel uncomfortable in face-to-face communication.,In cases of excessive technology use there is a possibility of disconnection from technology. ,In cases of excessive technology use there is a possibility of feeling uncomfortable in face-to-face communication.
441,2194,"Being the target of racist acts, or even just seeing or hearing about them, can make them feel uncomfortable. ",Stressing hormones can make them feel unsafely in society.,"Being the target of racist acts, or even just seeing or hearing about them, can make them feel unsafely in society."
928,2195, innate ability is a sign of intelligence.,Infants are born with facial expressions.,Infants are born with an innate ability.
442,2196,Working hard increases the pressure of the lungs.,Carbon dioxide draw oxygen into the body and expel carbon dioxide and other waste gases.,Working hard increases draw oxygen into the body and expel carbon dioxide and other waste gases.
443,2197,Weak work performances can lead to discrimination,discrimination at workplace results in discrimination,discrimination at workplace results in weak work performances
2366,2198,Wood is a great source of resistance to stress., parallel fibers resist noticeable tensile stresses.,Wood resist noticeable tensile stresses.
2367,2199,The identity of individuals and societies may begin to weaken. ,Globalization is often said to have a negative effect on the social cohesion.,Globalization is often said to have a negative effect on the strength of identity of individuals and societies may begin to weaken.
2368,2200,Interactive multimedia can help learners in many ways,interactive multimedia can help learners in many ways,interactive multimedia can help learners in many ways
1412,2201,Green cement is a cementitious material that is a more sustainable construction material,Green cement meets or exceeds the functional performance capabilities of ordinary Portland cement,Green cement is a cementitious material that meets or exceeds the functional performance capabilities of ordinary Portland cement and is a more sustainable construction material
929,2202,Floods created avalanche in Alaska.,Heavy snowing resulted in slippery slopes.,Heavy snowing created avalanche in Alaska.
444,2203,Urban sprawl negatively influences liveabilit,Urban sprawl negatively influences the environment,Urban sprawl negatively influences liveabilit
1413,2204,R. Plega has an obstacle in developing his work,Developing your work requires a lot of training,R. Plega has an obstacle in developing his work
1414,2205,Children often learn better in diverse classrooms,Children often learn better in diverse classrooms,Children often learn better in diverse classrooms
1904,2206,having high concentration is very important in becoming sucessfull in business,having high concentration is very important in becoming sucessfull in business,having high concentration is very important in becoming sucessfull in business
930,2207,the coast forms the boundary between the land and the ocean or a lake,the ocean or a lake have different boundaries,the coast forms the boundary between the land and the ocean or a lake
445,2208,Unemployment can arise a social crisis. ,Long-term automation can lead to higher unemployment.,Long-term automation can arise a social crisis.
2369,2209,Urban renewal can revitalise depressed cities,Hosting international events can help attract international visitors,Hosting international events can revitalise depressed cities
1415,2210,Improved transport links from ports to land routes and airport will make many adventures and antic available to tourists.,Providing many adventures and antic available to tourists.,Improved transport links from ports to land routes and airport will make many adventures and antic available to tourists.
446,2211,vertical farming technologies allow for more efficient use of land,Plants are less disruptive to the native plants and animals,vertical farming technologies are less disruptive to the native plants and animals
2370,2212,Marketing has been known to positively impact the profit of a business,Promoting special deals positively impact the profit of a business,Marketing has been known to positively impact the profit of a business
1416,2213,My nephew is a good kid to his parent,My nephew is a good kid to his parent,My nephew is a good kid to his parent
2371,2214,Being able to solve puzzles gives you a great advantage in the workforce,Being able to solve complex puzzles gives you a great advantage in the workforce,Solving puzzles gives you a great advantage in the workforce
1905,2215,we had been saving our money for the whole year in 2008,we had been saving our money for the whole year in 2008,we had been saving our money for the whole year in 2008
931,2216,The lack of vegetation exposes the unprotected surface of the ground to erosion,increased erosion leads to a reduction in elevation and in relief of landforms and of landscapes,The lack of vegetation exposes the unprotected surface of the ground to a reduction in elevation and in relief of landforms and of landscapes
1906,2217,A lot of condensation is always associated with mold spores,Dry air is always associated with potential growth of mold spores,A lot of condensation is always associated with potential growth of mold spores
932,2218,Red and white blood cells are the main sources of nitrites.,nuts will help the body with regulating blood flow.,nuts will help the body with producing red and white blood cells.
447,2219,Some U.S. states require contractors to pass a written test and have minimum levels of insurance,"No matter what kind of training a carpenter has had, some U.S. states require contractors to pass a written test","No matter what kind of training a carpenter has had, some U.S. states require contractors to pass a written test and have minimum levels of insurance"
448,2220,It is difficult for small businesses to raise enough cash,It is difficult for small businesses to promote new items,It is difficult for small businesses to promote new items
449,2221,Mark Hamill’s sinister voice urged producers to cast him in animated series.,The popularity of Batman urged producers to cast him as Joker in animated series.,Mark Hamill’s sinister voice urged producers to cast him as Joker in animated series.
1907,2222,Water is the most abundant substance in living systems.,Water is the most abundant substance in living systems.,The most abundant substance in living systems makes up 70% or more of the weight of most organisms. 
1417,2223,Dark Knight Trilogyis oriented based on philosophy and physcological manipulations.,The Dark Knight Trilogyis oriented on philosophy and physcological manipulations.,Dark Knight Trilogyis is oriented based on philosophy and physcological manipulations.
450,2224,using plastic handbags is harmful,Plastic waste is not good for our planet,using plastic handbags is not good for our planet
451,2225,Collision of small bits of ice form lightnings.,Lightnings form lightnings.,Collision of small bits of ice form lightnings.
933,2226,Diego Maradonna was one of the most outstanding players of the competition,The 1978 Worldcup championship was won by Argentina.,Diego Maradonna led Argentina to the worldcup championship
1908,2227,Agent 47 is trained as a professional assassin.,Agent 47 is trained as a professional assassin.,Agent 47 is trained as a professional assassin.
1909,2228,The retirement of Sir Alex Ferguson brought back the Champions league.,Manchester United brought back the success to Manchester United.,Sir Alex Ferguson brought back the success to Manchester United.
1418,2229,Changes in the amount of water in your body makes the blood pressure happens.,Eating too much salt increases the salt in your body.,Eating too much salt makes the blood pressure happens.
934,2230,Internet is of enormous importance to multi-national companies,The internet is of enormous importance to multi-national companies,Internet is of enormous importance to multi-national companies
1910,2231,Janet made jury execute wrong decision on the case.,Jury execute wrong decision on the case.,Janet made jury execute wrong decision on the case.
1419,2232,Sunnier days are when sunlight is at its highest level,Most people feel happier when they're in the sun,Most people feel happier when sunlight is at its highest level
452,2233,Environmental regulations in developed countries have reduced the use of fossil fuels.,Carbon dioxide reduction has reduced personal car use.,Environmental regulations in developed countries have reduced personal car use.
1911,2234,Peppermint oil is a great source of olive oil.,Peppermint oil is sometimes used to improve gut health.,"Peppermint oil is sometimes used to improve stomach pain, bloating, gas, and other unpleasant symptoms."
2372,2235,"People on gluten-free diets are actually filling their body with sugar, unhealthy oils and refined grains.",Low-GI foods contain high levels of fructose.,"People on gluten-free diets are actually filling their body with sugar, unhealthy oils and refined grains."
1912,2236,"At high concentrations, inhalation of chloroform can damage the respiratory system.",Inflammation of the respiratory system can occures death.,"At high concentrations, inhalation of chloroform can occures death."
2373,2237,Lesions in the lips are often diagnosed as anemia.,Iron deficiency is a sign of lack of iron in the body.,Lesions in the lips are often diagnosed as a sign of lack of iron in the body.
935,2238,Low blood sugar might result in shakiness or No conclusionegular heartbeats.,Taking onion along with diabetes medications might increase insulin levels.,Taking onion along with diabetes medications might result in shakiness or No conclusionegular heartbeats.
1420,2239,it is important to prevent rejection,it is important to prevent shaking your confidence,it is important to prevent shaking your confidence
453,2240,so big amount of wholegrains are in the stomach.,Iron will probably cause vomiting.,so big amount of wholegrains will probably cause vomiting.
454,2241,Michael Jackson was one of the greatest cultural icons,Jackson is one of the greatest entertainers,Jackson is one of the greatest cultural icons
2374,2242,The euro is a currency of the European Union,The euro encourages trade within the eurozone,The euro encourages trade within the eurozone
455,2243,Improved dental health improved.,During the fourteenth and fifteenth centuries dental treatment improved.,During the fourteenth and fifteenth centuries dental treatment improved.
1421,2244,William Dixon Maddren was a member of the American soccer team.,Trainers underwent hard training sessions and educations.,William Dixon Maddren underwent hard training sessions and educations.
456,2245,You're more likely to get lost when using public transportation in bigger cities,You're more likely to get lost when you don't know where to go,You're more likely to get lost when using public transportation in bigger cities
1913,2246,exercising releases endorphins,relaxing helps decrease stress,exercising helps decrease stress
2375,2247,"In a geyser, water's pressure rises.","In a geyser, the molten water heats up and cools.","In a geyser, water's pressure builds up and forcing the superheated water to burst the surface."
457,2248,The exchange of information between participants occurs when the exchange of technology between participants includes the use of technology.,"The exchange of signs, signals, messages,etc, by wire, or electromagnetic systems occurs when the interaction between parties involves the use of technology.","Transmission of signs, signals, messages,etc, by wire, or electromagnetic systems occurs when the exchange of information between participants includes the use of technology."
1914,2249,higher levels of pollution result in bigger amount of pollution,highways in comparison to normal roads have more lines,highways in comparison to normal roads bear more traffic resulting in bigger amount of pollution
1422,2250,The europe 2020 strategy has components to promote tourism,The europe 2020 strategy has components to find solutions to particular tourism related societel challenges,The europe 2020 strategy has components to find solutions to particular tourism related societel challenges
936,2251,cooking acidic foods in aluminium pans increases the acidity,Aluminum has a link with Alzheimer’s disease,cooking acidic foods in aluminium pans has a link with Alzheimer’s disease
937,2252,Sleep loss can lead to impaired judgment.,Depression can lead to a reduction in tendency to think positively., Sleep loss can lead to a reduction in tendency to think positively.
2376,2253,light disrupts circadian rhythm.,"changes the daily cycle of physical, mental, and behavioral systems.",light can have direct effect on human health.
458,2254,And we should avoid doing so),Gender stereotypes can be seen as a fact by children.,Gender stereotype signals can be seen as a fact by children. (And we should avoid doing so)
1423,2255,"Endorphins reduce feelings of pain, it also help people feel more happy and peaceful.",Physical activity is also known to increase the release of Endorphins.,"Physical activity is also known to increase the release of a chemical that reduce feelings of pain, it also help people feel more happy and peaceful."
938,2256,"Medias like Tv, magazines and social medias are known to be high in self-esteem.",Self-confidence is main reasons of eating disorders.,"Scientists believe that Medias like Tv, magazines and social medias are main reasons of eating disorders."
1915,2257,Gaining extra weight is associated with fructose,Fructose is a common effect of consuming sugar-sweetened drinks,Gaining extra weight is a common effect of consuming sugar-sweetened drinks
2377,2258,Talk therapy can help Mst U.S. Teens ,Stressing out can help Mst U.S. Teens,Talk therapy can help Mst U.S. Teens 
939,2259,Ginger may drastically lower Blood Sugars.,Ginger has powerful anti-diabetic properties.,Having powerful anti-diabetic properties may drastically lower Blood Sugars.
1916,2260,"When we stay awake all night, body tends to become fat","When we stay awake all night, body tends to become fat","When we stay awake all night, body tends to become fat"
459,2261,Translating Stanis?aw Lems works is difficult because of the lack of proper space, creations of new words in them,Translating Stanis?aw Lems works is difficult because of creations of new words in them
940,2262,Overpopulation rises the infectious diseases.,Terminating cats on the streets increases the population.,Terminating cats on the streets rises the infectious diseases.
460,2263,Dental professionals say after eating people should use a toothbrush or other device to clean the teeth.,People should use a toothbrush or other device to clean the teeth.,Dental professionals say after eating people should use a toothbrush or other device to clean the teeth.
2378,2264,Aunt Joan has a college degree.,Aunt Joan has a college degree.,Aunt Joan has a college degree.
2379,2265,Sanandaj Iraqi troop’s siege during the war resulted in the invasion of Iran.,The Iraqi troop’s siege during the war resulted in the destruction of Baghdad.,Sanandaj Iraqi troop’s siege during the war.
2380,2266,the use of fertilizers favours those species that are more efficient,the use of light favours those species that are able to benefit from the added nutrients,the use of fertilizers favours those species that are able to benefit from the added nutrients
941,2267,More tense competition can lead to more tense competition,Often privatisation of state-owned monopolies occurs alongside more competition,Often privatisation of state-owned monopolies occurs alongside more tense competition
942,2268,Researchers have also discovered that some species of cone snails produce a fast-acting form of insulin called insulin.,Insulin is a fast-acting form of a peptide hormone called beta cells of the pancreatic islets; it is considered to be the main anabolic hormone of the body.,Researchers have also discovered that some species of cone snails produce a fast-acting form of a peptide hormone produced by beta cells of the pancreatic islets; it is considered to be the main anabolic hormone of the body.
2381,2269,Driving increases the risk of accident for people who drive,antihistamine use increases  the risk of accident,antihistamine use increases  the risk of accident for people who drive
1424,2270,The lamp is a device that produces visible light from electric current and is essential to modern society,The most common form of artificial lighting is the use of LEDs,The most common form of artificial lighting is a device that produces visible light from electric current and is essential to modern society
1425,2271,Being a tourist can help you with improving your social skills,being a tourist can help you learn about different cultures,being a tourist can help you with improving your social skills
2382,2272,Targeted investment in transnational maritime routes and their connection will increase the income from new investments.,Expansion of international trade will increase the income from new investments.,Targeted investment in transnational maritime routes and their connection will increase the income from new investments.
1426,2273,"When you give responsibilities to your children, they become more obedient",You improve discipline,"When you give responsibilities to your children, you improve discipline"
1427,2274,Soluble fiber slows down digestion and helps you feel full faster.,Elastin slows down digestion and helps you feel full faster.,Soluble fiber slows down digestion and helps you feel full faster.
461,2275,Carbohydrates that have been cooked for a long period of time are known to contain high levels of fructose.,People with diabetes shouldn’t consume carbohydrates that have been cooked for a long period of time.,People with diabetes shouldn’t consume carbohydrates that have been cooked for a long period of time.
943,2276,Computer hackers can get access to personal information of users.,Computer hackers can access the personal information of users.,Computer hackers can get access to personal information of users.
1428,2277,loss of jobs will lead to decline in social stability. ,increasing tourism will lead to a rise in crime.,increasing tourism will lead to decline in social stability.
2383,2278,Ketone levels and track how the diet is working for them.,A weight loss app allows users to track the progress of their weight loss.,A weight loss app allows users to measure their ketone levels and track how the diet is working for them.
944,2279,Sleep-deprived people are more likely to have poor job performance.,Conflicts with co-workers can lead to poor job performance.,Sleep-deprived people are more likely to have poor job performance.
1429,2280,Bone loss can be more common after menopause due to lower levels of estrogen.,Osteoporosis can be more common after menopause,Osteoporosis can be more common after menopause due to lower levels of estrogen
1430,2281,Many alcoholics are likely to have financial strains,Jobless people tend to have financial strains,Many alcoholics are likely to have financial strains
1917,2282,The leaves of dandelion are known to contain diuretic.,Diuretic increases urine production and fluid removal from the body.,The leaves of dandelion increases urine production and fluid removal from the body.
2384,2283,Cortisol increases your blood pressure,Exposure to stress increases cortisol,Exposure to stress increases your blood pressure
462,2284,Amyloid is associated with an increased risk of Alzheimer’s disease.,Juli Engel was delighted when a neurologist recommended a PET scan to determine whether Amyloid was accumulating in her mother’s brain.,Juli Engel was delighted when a neurologist recommended a PET scan to determine whether the protein clumps associated with an increased risk of Alzheimer’s disease was accumulating in her mother’s brain.
1431,2285,Installing offshore windmills are far more complex than on land,Installing offshore windmills are far more complex than on land,Installing offshore windmills are far more complex than on land
1918,2286,Oman sailors were the first Europeans to sail across the Atlantic Ocean.,Oman sailors played a key role in the rise of maritime silk road.,Oman sailors played a key role in the rise of maritime silk road.
1432,2287,Razor blades assist men in experiencing smooth shaving.,Phillips introduced a new set of razor blades.,Phillips assists men in experiencing smooth shaving.
945,2288,"C caterpillars, gypsy moths and grubs are food for birds.",Rose-Breasted Grosbeak loves to hunt insects for its dietry.,"Rose-Breasted Grosbeak loves to hunt caterpillars, gypsy moths and grubs for its dietry."
2385,2289,Sleep helps to reduce inflammation in arteries,The heart vessels maintain blood pressure and sugar levels as well as inflammation control,Sleep helps to  maintain blood pressure and sugar levels as well as inflammation control
1919,2290,smoking increases blood pressure,smoking increases the heart rate,smoking makes your heart work harder than normal
2386,2291,Fallopian tubes are places where the sperm may live for around 24 hours before it can no longer be fertilized.,The fallopian tubes may have large holes in them.,The sperm may live for around 24 hours before it can no longer be fertilized.
2387,2292,The buildup of hard deposits in your arteries buildup increases your risk for heart disease and stroke.,Heart disease increases your risk for heart disease and stroke.,High levels of triglycerides are linked to the buildup of hard deposits in your arteries buildup increases your risk for heart disease and stroke.
946,2293,High blood pressure increases the risk of heart failure,Heart disease causes abnormal function in the heart,High blood pressure causes abnormal function in the heart
1433,2294,"Multiple eggs are called fraternal multiples, like twins.","People may have fraternal multiples, like twins.","People may have fraternal multiples, like twins."
947,2295,Parliamentary systems have the right to dismiss a Prime Minister at any point in time by a Vote of No Confidence,The legislature decides whether or not to remove the Prime Minister from office by a majority support for his or her dismissal,Parliamentary systems have the right to dismiss a Prime Minister at any point in time by a Vote of No Confidence where the legislature decides whether or not to remove the Prime Minister from office by a majority support for his or her dismissal
948,2296,An inland port allows a ship to sail from the ocean inland to the port to load or unload its cargo,An inland port allows a ship to move freely between ports,An inland port allows a ship to sail from the ocean inland to the port to load or unload its cargo
