Premise 1,Premise 2,Syllogistic relation,Conclusion,index
If you’re not changing as a person then you’re not intelligent,One of the most fundamental components of making positive change in your life is developing a healthy relationship with your parents,yes,if you are developing a healthy relationship with your parents then you are intelligent,4672
Agricultural experts love them because they eat aphids and other plant-eating pests and animals.,Experts believe that the bone belonged to a plant-eating animal with a long neck.,no,No conclusion,4673
substance in olive oil can help remove beta-amyloid plaques.,One of Alzheimer’s key features is buildup of so-called beta-amyloid plaques inside brain cells.,yes,olive oil may combat Alzheimer's disease.,4674
The time between exposure to HIV and when it becomes detectable in the blood is called the HIV window period.,"If a person takes an HIV test during the window period, it’s likely they’ll receive a negative result.",yes,"If a person takes an HIV test during the time between exposure to HIV and when it becomes detectable in the blood, it’s likely they’ll receive a negative result.",4675
"It's a long way to Takhte Jamshid, the high historic value of Shiraz city.",Contracted pathways resembles the high historic value of a city.,no,No conclusion,4676
Green Glue converts sound energy into a negligible amount of heat.,Convertion of sound energy into heat isolates the noise traveling from one room to the other.,yes,Green Glue isolates the noise traveling from one room to the other.,4677
Prohibition of deceiving customers was possible through certain limitations on customer policies. ,Amazon was concerned about fraud prevention in trades.,yes,Amazon set certain limitation on customer policies.,4678
Food supply in Great Britain was adversely hit by the Corn Laws,The Corn Laws imposed tariffs on imported grain,yes,Food supply in Great Britain was adversely hit by the imposed tariffs on imported grain,4679
"Suction and negative pressure can loosen muscles, encourage blood flow, and sedate the nervous system",Cupping provides suction and negative pressure.,yes,"Cupping can loosen muscles, encourage blood flow, and sedate the nervous system",4680
People who are conscientious are organized.,Organizations are strongly influenced by the people that form part of them.,no,No conclusion,4681
"Samuel Morse, developer of the telegraphic Morse Code, died in New York City aged 80.",Samuel Morse developed telegraph in the 1830s and 1840s.,no,No conclusion,4682
semi-arid deserts are usually located at the edge of deserts and continental dry areas,"A semi-arid desert or a steppe is a version of the arid desert with much more rainfall, vegetation and higher humidity",yes,"the edge of deserts and continental dry areas are regions with much more rainfall, vegetation and higher humidity",4683
The only reason of fear in adults is because of parents' bad behavior in their childhood.,The only reason that I’m still alive is exercise.,no,No conclusion,4684
Quantifying the statistical uncertainty present in interpolation estimates helped researchers to be confident that the interpolation was accurate.,Researchers ensured that the interpolation was correct by quantifying the statistical confusion in interpolation.,no,No conclusion,4685
Societal alienation makes you less likely to build relationships,The chance of you creating associations with others goes down if you are socially isolated.,no,No conclusion,4686
Self-employed people often tend to feel a greater sense of community and connection than those who are working in traditional careers. ,graduates tend to feel a greater sense of satisfaction in their careers than those without a degree.,no,No conclusion,4687
"the development of unfathomable crystals in the form of pointers,fills capillary pores and micro-cracks in the concrete to block pathways for water and waterborne contaminates",The reaction takes place when exposed to water and un-hydrated cement particles to form insoluble needle-shaped crystals,yes,The reaction takes place when exposed to water and un-hydrated cement particles fill capillary pores and micro-cracks in the concrete to block pathways for water and waterborne contaminates,4688
Newton explained the concept of universal gravitational.,The concept of universal gravitational justified tidal motions.,yes,Newton justified tidal motions.,4689
The world's most important waterway is the waterway which has the most of world's oil.,Hormoz has the most of world's oil.,yes,The world's most important waterway is Hormoz.,4690
a submergent coastline is one where the sea level has risen,"an upsurge in water levels might emerge due to a global sea level change, local subsidence, or isostatic rebound",yes,"a submergent coastline might emerge due to a global sea level change, local subsidence, or isostatic rebound",4691
Restoring the amount of electrolyte prevents muscle cramps.,Sodium rich juices and fluids help to restore the amount of electrolyte.,yes,Sodium rich juices and fluids help prevents muscle cramps.,4692
Shellfish carries a lot of iodine.,"Overusing the iodine can lead to a wide range of different symptoms, such as weight gain.",yes,huge amount of shellfish would probably cause a wide range of different symptoms.,4693
Ocean heat waves have become increasingly common in recent decades.,Ocean heat waves are defined as periods of extreme temperatures lasting five days or more,yes,The periods of extreme temperatures that last five days or more have become increasingly common in recent decades.,4694
In almost 50 million American citizens a compulsion towards to nicotine can be seen.,nicotine addiction is observed in nearly 50 million americans,no,No conclusion,4695
The GTM method was the one that he was  teaching.,"Bahman Ghayouran, a prominent Iranian specialist, has developed an outpatient surgical method.",no,No conclusion,4696
Solar panels can not function during cloudy and rainy days,Humans need sleep to let the brain recover so that we can function during the day.,no,No conclusion,4697
Jamaican vomiting illness is ackee poisoning.,Some of the symptoms of the Jamaican vomiting illness are the same as ones found in lychee poisoning.,yes,Some of the symptoms of the ackee poisoning are the same as ones found in lychee poisoning.,4698
Sudden escalation of gas price severely disfavored people with low income.,Hassan Rouhani tripled fuel expenses last month.,yes,Hassan Rouhani severely disfavored people with low income.,4699
"People who have damage in Broca's area, have great difficulty in speaking.",People who have problems in Broca's area cannot speak very well.,no,No conclusion,4700
john  had a  strong desire and keen interest to learn in highschool,A good student is somebody who has interest and a desire to learn,yes,john was a good student in highschool,4701
Hormonal changes regularly are followed by extreme tiredness.,"During the first trimester of pregnancy, the body undergoes hormonal fluctuations.",yes,"During the first trimester of pregnancy, the body undergoes extreme tiredness.",4702
"When people engage in illegal ways to make money,they harm the ethics of the society",Poverty encourages making money by unlawful means,yes,Poverty harms the ethics of the society,4703
The challenge is that blockchain focuses on digital assets and not physical products,"Not long ago team building activities were primarily focused on physical challenges to build team spirit, now there is a greater variety of options. ",no,No conclusion,4704
creating steel economically allowed us to build taller and more safe buildings and stronger vehicles.,This was considered engineeringly and economically a safe building.,no,No conclusion,4705
Consumers looking for high quality products prefer buying from top-end brands,Setting higher prices might help you maintain your position as a upscale brand,yes,Setting higher prices might help you maintain Consumers looking for high quality products,4706
Proponents say keto diet falls the blood sugar level.,"According to the diet’s proponents, you will have lower blood sugar by this eating style.",no,No conclusion,4707
Adding plants to your garden could further develop the landscape,Beautiful landscapes usually add to the value of the houses,yes,Adding plants to your garden could add to the value of your house,4708
We become desperate and depressed when we lose someone.,"When we loss somebody, we spend moments of extreme anguish and despair.",no,No conclusion,4709
Social centers add to the general wellbeing of both yourself and your children,Country areas generally have a great community hub,yes,Country areas generally add to the wellbeing of both yourself and your children,4710
"when you become a part of the crowd, you participate in your community.",online shopping doesn't allow you to become a member of a group. ,yes,online shopping doesn't allow you to participate in your community,4711
Creativity is mostly found in works that are done without supervision,Freely Completing a task is possible in high trust environments,yes,Creativity is mostly found in works that are done in high trust environments,4712
"one can trust individuals, organisations, institutions and systems.",losing a loved one can contribute to post-traumatic stress. ,no,No conclusion,4713
"As a child, Mike loved to read.",Reading was Mike's hobby since he was a child,no,No conclusion,4714
Alcohol's effects on the society also come from the inhibition people have when under the influence,When you're under the effect of alcohol you're more likely to commit crimes ,yes,Alcohol's effects on the society also include committing crimes ,4715
An insulated building is a well planned building,A more efficient building requires less heat generating or dissipating power,yes,An insulated building requires less heat generating or dissipating power,4716
most international hotels are located near the city centre,there's a massive fire in an international hotel,yes,there's a massive fire near the city centre,4717
Fiber content lowers a food's glycemic index.,Fat lowers the GI of a food.,no,No conclusion,4718
"a manufacturing plant is an industrial site, usually consisting of buildings and machinery, or more commonly a complex having several buildings",a production plant is where workers manufacture goods or operate machines processing one product into another,yes,"an industrial site, usually consisting of buildings and machinery, or more commonly a complex having several buildings is where workers manufacture goods or operate machines processing one product into another",4719
Taking a shower daily helps to protect against infectious diseases.,Take a shower daily can prevnt many disease.,no,No conclusion,4720
Children between two and four years of age become aggressive when they are frustrated.,Disappointed children show offensive behavior by damaging toys and furniture.  ,yes,When children between two and four years of age become aggressive damage toys and furniture.  ,4721
Concrete is rich in aggregate,"materials that include aggregate,are strong in compression, as the aggregate efficiently carries the compression load",yes,Concrete is strong in compression,4722
The permission of driving ensures that the driver knows the rules. ,Everyone on the road is supposed to be licensed.,yes,Everyone on the road is supposed to know the rules.,4723
home-cooked food is made using fresh ingredients,fresh ingredients can significantly help with digestion,yes,home-cooked food can significantly help with digestion,4724
Christian clergy abuse caused people to begin criticizing the catholic church.,Criticizing the catholic church ended in Protestant Reformation.,yes,Christian clergy abuse ended in Protestant Reformation.,4725
3 ways you can look at any struggle and turn it into a positive result.,presence of struggle in a home can result in sibling rivalry.,no,No conclusion,4726
Changing a flat tire starts with lifting the car off the ground.,"After lifting the car off the ground, jack up the car high enough for the tire to clear the ground.",yes,Changing a flat tire starts with jacking up the car high enough for the tire to clear the ground.,4727
"Ancient sites In Fars attracts thousands of tourists, annually.",A tourist had attracted to thousands of camera there.,no,No conclusion,4728
providing  safe working conditions which are not dangerous is construction employers' duty,construction employers must provide working conditions that are free of known dangers,no,No conclusion,4729
initiation of the work course helps the port work smoothly,Smart ports usually deploy cloud-based software as part of the process of greater automation help generate the operating flow,yes,Smart ports usually deploy cloud-based software as part of the process of greater automation that helps the port work smoothly,4730
Secondhand smoke is harmful effects from other people's tobacco smoke.,"In the United States, secondhand smoke causes about three thousand non-smoking adults to die of lung cancer each year.",yes,"In the United States, harmful effects from other people's tobacco smoke causes about three thousand non-smoking adults to die of lung cancer each year.",4731
definiton of heresy is elaborated as religious opinion contrary to church dogma.,Cardano was suddenly arrested on the accusation of heresy.,yes,Cardano was suddenly arrested on the accusation of having religious opinion contrary to church dogma.,4732
Providing job opportunities is a significant role in economic growth.,Startups provide job opportunities to both experienced and young professionals.,yes,Startups play a significant role in economic growth.,4733
They do not impair intelligence or lead to great physical pain.,The government has reported that the novel corona virus has had a devastating impact on the local job market.,no,No conclusion,4734
We can't produce a good product because of cold climates that have heavy snowfalls during the winter.,Diverse climates has assisted Iran to produce a long array of agricultural products.,no,No conclusion,4735
there was soy sauce on the floor of my house,Baby was played on the floor with soy sauce in her hands.,no,No conclusion,4736
Eating fruit that contain lycopene are known to lessen the chances of getting cancer,Watermelon contains large amounts of lycopene,yes,Watermelon is known to lessen the chances of getting cancer,4737
Cyber bullying can have fatal effects,Cyber bullying is another growing trend among social media websites,yes,Social media websites can have fatal effects,4738
People who feel guilty tend to commit suicide more.,people with enormous feelings of wrongdoings are more likely to commit suicides,no,No conclusion,4739
" Geographic Limits typically require additional costs such as time costs due to border delays, and costs associated with country differences such as language. ",  The main difference between international trade and domestic trade is the boundaries and what it imposes.,yes,"The main difference between international trade and domestic trade is the additional costs such as time costs due to border delays, and costs associated with country differences such as language",4740
"in a situation stationary lights fail,we can use battery powered lights.",Battery-powered light is often reserved for when and where stationary lights fail,no,No conclusion,4741
Drying up the wells is because of the ignorance of groundwater levels.,"When groundwater levels decline too far, it leads to drying up of wells.",no,No conclusion,4742
One of the places where one can find plant sunstances called catechins is green tea.,Green tea is a good source of the plant compounds called catechins,no,No conclusion,4743
"Hydrogen bonds are essential intermolecular attraction forces within the building of water which increase the strength, boiling point, melting point and etc.","Calcium is essentially a building block of bone, and it helps maintain bone strength throughout your lifetime.",no,No conclusion,4744
People who claim more than they can do usually make us disappointed.,Most of us get frustrated with people who speak more than they're able to do,no,No conclusion,4745
faster transportation helps to industrial progress in our society.,technology has been regularly making transportation more efficient and quicker.,yes,technology has been regularly making industrial progress in our society.,4746
a fuel for producing electric power is lignite which is the dirtiest coal ,He works with various fuels such as lignite and coal in a dirty repair.,no,No conclusion,4747
The parents who personally understand the importance of education are more likely to provide home environments that encourage college attendance.,More developed societies are linked into communication systems and so are more likely to understand environmental and resource issues.,no,No conclusion,4748
Wind turbines function efficiently in locations where there are fewer land obstacles to reduce the force of the wind,"The RMS-WH is designed to function efficiently in locations where environmental protection, central power, and communications are limited or unavailable.",no,No conclusion,4749
"Every day, I have school homework which I have to finish.",For homework I want to write an essay on te every day life on a school teacher.,no,No conclusion,4750
Applying technology in different applications like telecommunication or agriculture is related to electrical power.  ,"Power engineering deals with the generation, transmission, and distribution of electricity as well as the design of a range of related devices.",no,No conclusion,4751
"students who don't learn how to search, move forward in their education and career without mastering skills.",students who choose to plagiarize deprive themselves of learning important tasks of researching.,yes,students who choose to plagiarize move forward in their education and career without mastering skills,4752
People moved in so rapidly that there was not enough capital to build adequate housing for everyone,"with the lack of enough funds for the construction of sufficient housing for the society,low-income new comers were squeezed into increasingly overcrowded slums",yes,"People moved in so rapidly,so low-income newcomers were squeezed into increasingly overcrowded slums",4753
It is possible to lure new customers by setting up a referral program,Most recommendation initiatives reward existing customers in return for new customers,yes,It is possible to lure new customers by rewarding the existing ones,4754
"The more you read, the more words you gain exposure to.","As people gain more exposure to political information, they grow more interested, and vice versa, leading to what she calls a “virtuous circle” of political participation.",no,No conclusion,4755
"According to the Mayo Clinic, women with migraines are better not to use estrogen.",The Mayo Clinic has advice about avoiding to use estrogen for women who suffer from migraines.,no,No conclusion,4756
"The seafloor is a valuable mine for minerals such as silicates, iron, and basalt","Volcanic basalt flows, mostly containing iron silicate, exist in the moon seas.",no,No conclusion,4757
lumbering reduces the greenhouse amount significantly.,changes in greenhouse gas levels are responsible for Ice cores drawn from  Antarctica.,yes, lumbering are responsible for Ice cores drawn from  Antarctica.,4758
"when your pores are open , you're prone to getting acne",the pores on our skin open after showering,yes,you're prone to getting acne after showering,4759
Convenient “screen” allowing city leaders to divert public attention away from crucial questions.," by making the most of public attention, the city can earn more through the expenditure of new visitors",no,No conclusion,4760
"The older the child, the more weight the court will give to the child's wishes through the interview process.",Sharon gave birth to the child,no,No conclusion,4761
Improving personal efficiency will be one of the most important issues in IT over the next decade.,Energy efficiency will be increased if people reduce personal car use.,no,No conclusion,4762
You can take control of your lung capacity and breathing quality by doing swimming breathing exercises.,"Breathing exercises associated with sweaming, like holding your breath, may help you expand your lung capacity and gain control over your breathing. ",no,No conclusion,4763
Scientists put hundreds of seismic monitoring stations around the world.,"By putting hundreds of seimic monitoring station around the world, the strength and position of earthquakes are able to be measured",yes,Scientists are able to measure the strength and position of earthquakes.,4764
Catastrophic fiscal reductions and casualties are usually followed by physiological and monetary problems,"We don't usually have a problem tracking him, but this changed about two weeks ago.",no,No conclusion,4765
"with more cash paid out for amusement,a new market for cheap popular literature was developed",A growing consumer culture also saw people start to spend more money on entertainment,yes,with A growing consumer culture a new market for cheap popular literature was developed,4766
Using eye masks and earplugs during the night helps to get enough sleep.,We can have deep sleep by using eye masks and earplug over the night.,no,No conclusion,4767
Internet can totally change the way we do our Purchasing.,The system we arrange for buying stuff can have a dramatic impact on the local economy. ,yes,Internet can have a dramatic impact on local economy.,4768
The recent research shows that the most ordered food has been the cheapest one in the whole menu.,"when a customer places an order online, they take their time to browse the whole of the menu",no,No conclusion,4769
Oracle is one of the largest companies developing computer hardware systems and enterprise softwareproducts,"The smaller you are, the harder it is for you to use all these digital tools",yes,"For Oracle, It is not hard to use all the digital tools.",4770
"If an artist is told exactly what they should be doing, it would cause them to get irritiated, because they have no interest in being managed.",artists don't like to be directed and are actually a bit annoyed by being told exactly what to do,no,No conclusion,4771
these are the advantages and disadvantages of hosting an international sporting event.,"The color red is usually associated with anger, blood, and warning. ",no,No conclusion,4772
poisoned animals pose great danger to the wildlife,polluted water sources poisons animals who drink them,yes,polluted water sources pose great danger to wildlife,4773
Sometimes we must break completely in order to rebuild fully. Trust your ability to transform.”, Fractures in the cement can even make a dam to break completely.,no,No conclusion,4774
Overthinking generates stress in person’s mind.,People often behave irrationally when they are under stress.,no,No conclusion,4775
Reliable people are those who are honest.,Honest people usually tend to be trustworthy,no,No conclusion,4776
Space exploration can expand our knowledge of outer space.,Benefits of space exploration include increase in the knowledge that is out there about space.,no,No conclusion,4777
People tend to avoid making friendships with people they don't trust to,People do not make friends with unreliable individuals.,no,No conclusion,4778
Armed conflict has significant direct and negative consequences for educative support. ,  Destruction of schools and scholarly infrastructure leads to a decline in education.,yes,Armed conflict leads to a decline in education,4779
Blocking the gastrointestinal tract can diminish the urge to eat. ,Microplastics can prevent the digestive tracts of aquatic creatures,yes,microplastics can diminish the urge to eat of aquatic creatures,4780
drones could get sucked into a jet engine and damage it severely,Flying of Items that pose danger to jet engines is banned in airports,yes,Flying of drones is banned in airports,4781
Each well-organized system must have a creator.,I have thought science is knowledge that created everything.,no,No conclusion,4782
Living and becoming older in bad condition made many Brazilian youths to become football player.,"Raising in poor conditions, forced many Brazilian youngsters to become footballers.",no,No conclusion,4783
"When treating severe gum disease like periodontits, use of aloe vera gel may help against bacterial infection.",Aloe vera gel can be effective against bacterial contamination in severe cases such as periodontitis.,no,No conclusion,4784
Most single women prefer to live next to other people rather than in a house,Multi-unit dwellings usually showcase the close proximity of neighbors to each other,yes,Most single women prefer to live in multi-unit dwellings rather than a house,4785
"tray agriculture involves raising fish commercially in tanks or enclosures, usually for food",Fish farming is the principal form of aquaculture,yes,"Fish farming involves raising fish commercially in tanks or enclosures, usually for food",4786
Real or fake laughter have no difference for the brain.,"If a thing is already defined for the brain, it reacts to it is supposed and you will get the expected results.",yes,Real or fake laughter will get you the expected results.,4787
Volatile swings in the exchange rate can destroy the profitability of exports,Shattered efficiency of overseas trade undermines business confidence in investing,yes,Volatile swings in the exchange rate undermines business confidence in investing,4788
people who are not appreciated will feel less motivated to do their job. ,A psychotherapist once taught me a little trick that helped me feel less angry at my partner and less sad about the failings of our relationship.,no,No conclusion,4789
 Many online sites offer discount coupons and rebates.,people like shopping with rebate tickets because they help them to save money. ,yes, Many online sites can help people to save money,4790
Unusable spaces will function as private dens for criminals,Many facilities built for the Olympics can never be fully used again,yes,Many facilities built for the Olympics will function as private dens for criminals,4791
The lesson was about how to inject the drug directly into the base of the spine fluid.,"By injecting Titan spine fluid, one can become a titan.",no,No conclusion,4792
The odds of you getting a blood clot in your arm or leg rises if the blood circulates in a bad way in your body.,Poor circulation can increase your risk of developing deep-vein thrombosis,no,No conclusion,4793
Direwolvess were huge beasts which required bigger preys.,the hunt of big-sized herbivores reduced their population.,yes,Direwolves reduced population of herbivores.,4794
Recently Ali got a job offer from NASA that resulted in his employment there.,I haven’t recently met him. How about you?,no,No conclusion,4795
People follow leaders they trust,Honest people usually tend to be trustworthy,yes,People tend to follow honest leaders,4796
Some religious people believed what we have is what God wants us to have.,"Some people believe that preserving natural environment is crucial, however, most make no effort to do so.",no,No conclusion,4797
Psychological distress are mental disorders like depression and anxiety.,Spending too long on social networking sites could cause psychological distress.,yes,Spending too long on social networking sites could cause mental disorders like depression and anxiety.,4798
A blurred eyesight is caused when you cannot fixate on the items close to you.,not being able to focus on the objects near you causes blurry vision,no,No conclusion,4799
Occupational therapy can help children to become more active,Developing critical thinking skills can help children to be self-motivated. ,yes,Occupational therapy can help children to be self-motivated,8
The growth of creative services could impact on overall unemployment,creative services could encourage employment in the fast growing creative industries,yes,creative services could impact on overall unemployment,16
Asghar Farhadi received an oscar for best foreign movie.,The Best Foreign Language Film honors the corresponding cinema industry.,yes,Asghar Farhadi honors the corresponding cinema industry.,17
electric motors made people's life easier.,Car discoveries have been made during the last decades.,yes,cars made people's life easier during the last decades.,24
This lamp is too expensive for me,I won't buy this expensive lamp,yes,I won't buy this lamp,41
Farmers grow a wide range of crops by making it needless of importing.,Growing a huge amount of crops in Iran help the economic.,yes,Farmers help the economic.,47
Vinegar inhibits food from spoiling,"When bacteria are growing in food, it spoiling",yes,Vinegar inhibits food from spoiling,67
Joint attention is a phenomenon which in babies can see an adult following their gaze and try to draw the adult’s attention to something that interests them by looking very quickly at the object of interest.,Joint attention is the practice of looking very quickly at the object of interest until both are engaging.,yes,Babies can see an adult following their gaze and try to draw the adult’s attention to something that interests them by looking very quickly at the object of interest until both are engaging.,72
Your child is more likely to make logical decisions when he is aware of his surroundings,Your child develops a sense of trust in him,yes,Your child is more likely to make logical decisions when you develop a sense of trust in him,78
Tourists prefer to book online,Customers prefer a quick and easy booking,yes,Tourists prefer  a quick and easy booking,86
Growing means not being intelligent.,"When you grow, you change your habits",yes,If you’re not changing you’re not being intelligent,93
The establishment of a parliament in Iran led to the issuance of the Constitutional Revolution of Iran.,Sheikh Fazlollah became the leader of the constitutional revolution.,yes,Sheikh Fazlollah contributed to the establishment of a parliament in Iran.,98
Babysitters spend most of their time with their children,Parents must consider quitting smoking,yes,Babysitters must consider quitting smoking,106
There will be a decrease in the number of bookings if there’s a shortage of hot water inside the rooms,There’s a shortage of hot water inside the rooms,yes,There will be a decrease in the number of bookings if there’s a shortage of hot water inside the rooms,111
"my friend and I are going to see a musical play named ""Rent""","the 1998 tony award winner musical was called ""Rent""",yes,"my friend and I are going to see a musical play named ""Rent""",117
Feeling well-being skyrockets your productivity,Interacting with other people makes you happy,yes,Interacting with other skyrockets your productivity,118
populist waves often rise when security levels are low,"In uncertain habitats, security levels are low",yes,populist waves often rise when security levels are low,120
Mount Tomuraushi is the second largest island in Japan.,Hokkaid? is located in japan.,yes,Mount Tomuraushi is in japan.,137
Researches show that group work can effectively enhance learning for students.,Critical thinking can effectively enhance learning for students.,yes,Critical thinking can effectively enhance learning for students.,140
Pesticides are known to be resistant to pesticides,Pesticides warrant the development of a new pesticide,yes,Pesticides warrant the development of a new pesticide,145
economic progress will be a source of competitive advantage,Tourism will contribute to sustainable development,yes,Tourism will be a source of competitive advantage,171
there is a high chance of Reza getting mugged,Reza is walking alone in the city at night,yes,there is a high chance of Reza getting mugged tonight,172
loss of profit pose serious dangers to the company,the implications of the proposed changes are that the company will have to reduce its annual cash flow,yes,the implications of the proposed changes pose serious dangers to the company,176
 rigid education system could not prepare its young generation to be successful,Tanzania lacks flexibility,yes,Tanzania education system could not prepare its young generation to be successful,180
IBM employees should spend four years in the fields of engineering or law.,It takes four years to complete a professional degree.,yes, IBM employees should spend four years to complete a professional degree.,190
An advanced tolerance to alcohol means that an individual is able to consume more alcohol,Alcoholism boosts our appetite for alcohol,yes,Alcoholism means that an individual is able to consume more alcohol,196
The wind energy power determines the heat and pressure in weather patterns.,The heat and pressure in the environment warms the surface by sunshine.,yes,The wind energy power is from sun's energy which warms the surface by sunshine.,200
county governments are elected by the local government,Chicago is the second largest city in the country,yes,Chicago is the seat of local government in cook county,203
due to sea ices we are in a critical situation in Antarctica.,penguin colonies lives in warmer climates.,yes,penguin colonies lives are in a critical situation in Antarctica.,208
The close proximity of apartment life can help to develop Group spirit,Creating a sense of community is associated with creating life long connections,yes,The close proximity of apartment life is associated with creating life long connections,209
Floods can bring about a lot of floods,Hurricanes bring about flooding,yes,Hurricanes can bring about a lot of floods,211
Whole eggs are very nutrient-dense.,Most nutritious foods arerich in nutrients relative to their calorie content. ,yes,Whole eggs arerich in nutrients relative to their calorie content. ,226
Keeping the essential files accessible ease the accessibility,Hard drives store important files.,yes,Hard drives ease the accessibility,239
Different settlement patterns are unique case of study.,The Natufians have distinctive features in their society.,yes,The Natufians are unique case of study.,280
"When a country decides whether a fiat currency or a gold-backed currency are legal, it determines whether the form of currency it may have","At the most basic level, monetary policy involves whether a country's currency exists",yes,"At the most basic level, monetary policy involves whether a fiat currency or a gold-backed currency",281
Blood clots prevent losing a big amount of blood with a small wound,Calcium is needed to prevent clotting.,yes,Calcium is needed to prevent losing a big amount of blood with a small wound,296
doctors probably try to manage shortness of breath.,doctors probably suggest relaxation techniques to manage emotions.,yes,doctors probably suggest relaxation techniques to manage shortness of breath.,303
When we're not thinking clearly or rationally we may feel less capable of coping,"When the fight or flight response is triggered, our brains become illogical",yes,When the fight or flight response is triggered we may feel less capable of coping,309
"In recent decades, the world temperature rises.","When the years have always been hotter, mountain glaciers and rivers are going to be disappeared.",yes,"In recent decades, mountain glaciers and rivers are going to be disappeared.",327
A green building has less assets,Finishing a building will cost you less money,yes,A green building will cost you less money,333
One-time projects are not overwhelming,freelance work is not always done in a day or two,yes,freelance work is not overwhelming,338
"In Europe, the construction industry produces ever-increasing amounts of rubbish","In Europe, governments have to find new locations for landfills because of the construction industry",yes,"In Europe, governments have to find new locations for landfills because of the construction industry",343
global warming is destructive to our naural environment.,Green House Gases are green house gases that are caused by global warming.,yes,Green House Gases are destructive to our naural environment.,357
"When children learn to be independent, Forget perfection.","When you have a big family, you tend to be more independent",yes,"When you have a big family, Forget perfection",358
Any interruption in pouring the concrete can give rise to the formation of a horizontal plane of weakness,the initial placed material to begin to set before the next batch is added on top can cause the formation of a horizontal plane of weakness called a cold joint between the two batches,yes,Any interruption in pouring the concrete can give rise to the formation of a horizontal plane of weakness called a cold joint between the two batches,372
"When customers spend more time deciding what to order, they're likely to order more",Customers can browse the menu without feeling rushed by lines,yes,"When customers can browse the menu without feeling rushed by lines,they're likely to order more",373
"the exchange of sets of obligations between two or more parties,is called a negotiation",A contract must be carefully considered,yes,"the exchange of sets of obligations between two or more parties,must be carefully considered",376
small firms have a large number of customers,smaller firms provide better customer service than bigger companies,yes,small firms provide better customer service than bigger companies,381
High temperatures chemically alters food’s nature.,Cooking exposes food to extreme heat.,yes,Cooking chemically alters food’s nature.,382
Common effects of divorce in children are guilt and shame,Feelings of guilt can lead to depression,yes,Common effects of divorce in children can lead to depression,383
Foliage from tress reduces heat,Tress reduces your electricity bill,yes,Foliage from tress reduces your electricity bill,384
Your brain sends you messages to eat more when you eat less,you don't get enough nutrients when you eat junk food,yes,your brain sends you messages to eat more when you eat junk food,394
"AI, AR, VR, and blockchain are key technologies for creating a more creative and prosperous world",The creative economy will be vital to global economy,yes,"AI, AR, VR, and blockchain will be vital to global economy",397
Tourism has been associated with the preservation of historic sites,Local pride is the factor that has saved many historical sites from destruction,yes,Tourism is the factor that has saved many historical sites from destruction,412
"In the U.S.A, the top status occupations are lawyers, professors and clegry.","Most professions requiring many years of education and training are lawyers, professors and clegry.",yes,"In the U.S.A, the top status occupations are lawyers, professors and clegry.",437
Vegetable soils and fresh water are perfect for cultivating.,River banks’ territories are rich in mineral and fresh water stream.,yes,River banks’ territories are perfect for cultivating.,441
consuming whole grains helps keep your blood sugar levels even,The Mediterranean diet is rich in whole grain carbohydrates,yes,Consuming the Mediterranean diet helps keep your blood sugar levels even,446
For many children preschool is an arranged environment among other children,The foundation of learning happens in a structured setting,yes,For many children the foundation of learning happens in preschool,457
Indoor vertical farms are less likely to have favorable climate.,The weather can cause crops destruction. ,yes,Indoor vertical farms are less likely to crops destruction.,465
the company dumps its chemical waste in the sea,polluting the river risks the lives of sea animals,yes,the company risks the lives of sea animals by throwing its chemical waste in it,467
People with extravert have a lot of energy.,People with extravert love what they are doing for a living,yes,People with extravert love what they are doing for a living,468
locations in transit provide the opportunity to sample local food or culture without leaving the airport,"Apart from major fast food chains, some airport restaurants have local food departments",yes,"Apart from major fast food chains, some airport restaurants provide the opportunity to sample local food or culture without leaving the airport",473
calcium is one of the factors of the amount of blood clot.,calcium in your body can cause blood clot.,yes,level of phosphate in the body is one of the factors of the amount of blood clot.,479
Rasht is one of the main cuisines of Rasht.,Potassium is great sources of Potassium.,yes,The main cuisines of Rasht are great sources of Potassium.,483
A place that they can get sunshine for about six hours on bright days is suitable for growthing them.,You should plant your roses in a suitable place.,yes,You should plant your roses where a place that they can get sunshine for about six hours on bright days.,486
Storage of water in sleeves lowers the total body weight.,Fibers reduce the urge of eating in body.,yes,Fibers subsequently lowers the total body weight.,497
Hotels have grown popular due to their convenience for transient passengers and easy accessibility to the airport terminal,Some airport structures are either constructed inside or are fixed to the station property,yes,Some airport structures have grown popular due to their convenience for transient passengers and easy accessibility to the airport terminal,517
Dancing is a visual series of colored form or performed by a dance troup for deaf individuals.,Certain aspects of musical experience can be translated into a visual series.,yes,Certain aspects of musical experience can be translated for deaf individuals.,519
Being able to access your audience from all around the world helps you to build your brand a lot faster,Putting your products on online platform helps you sell worldwide,yes,Putting your products on online platform helps you to build your brand a lot faster,534
Playing with toys can put you in danger of becoming a social anxious person,Jack is playing with toys for a long time,yes,Jack is in danger of becoming a social anxious person,545
The body's immune system makes the body vulnerable against infections and disease.,HIV virus makes the body vulnerable against T cells.,yes,HIV virus makes the body vulnerable against infections and disease.,548
Depression can lead to suicide. ,pessimism can lead inevitably to suicide,yes,pessimism can lead inevitably to suicide,565
a reduction in the temperature of the Earth's surface and atmosphere gives rise to the presence or expansion of continental and polar ice sheets and alpine glaciers,An ice age is a period of extended periods of lower het conditions on the earth and in the air,yes,An ice age gives rise to the presence or expansion of continental and polar ice sheets and alpine glaciers,571
